2023-12-09T21:48:28.365Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:48:36.580Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:00.688Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:02.049Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:04.652Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:14.850Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:17.577Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:19.762Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:35.479Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:37.482Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:45.828Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:47.441Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:49.145Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:50.671Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:54.138Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:49:56.726Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:50:01.487Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:50:04.229Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:50:09.617Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:50:13.821Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:50:15.766Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:50:20.674Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:50:22.832Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:50:25.415Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:50:30.084Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:03.628Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:09.226Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:12.171Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:13.540Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:17.006Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:19.465Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:21.037Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:22.692Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:25.032Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:27.744Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:32.925Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:35.274Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:49.482Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:51.233Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:55.577Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:51:57.195Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:52:02.284Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:52:04.575Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:52:07.805Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:52:08.962Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:52:27.443Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:52:43.528Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:52:47.735Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:52:53.126Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:52:55.325Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:53:26.033Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:53:38.826Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:53:54.068Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:53:58.574Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:01.819Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:08.590Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:14.466Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:17.048Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:19.156Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:21.386Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:24.006Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:25.574Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:27.041Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:36.031Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:47.160Z [debug] [main] Not starting CMake driver: no kit selected
